series,date,hour,bucket,price,model_p,edge,won,determined,source
KXHIGHNY,2026-06-16,14,77-78,0.18,0.09319999999999995,-0.08680000000000004,False,False,metar_6h_group
KXHIGHNY,2026-06-16,14,75-76,0.825,0.8937,0.0687000000000001,True,False,metar_6h_group
KXHIGHNY,2026-06-16,15,77-78,0.225,0.03290000000000004,-0.19209999999999997,False,False,metar_6h_group
KXHIGHNY,2026-06-16,15,75-76,0.79,0.9619,0.17189999999999994,True,False,metar_6h_group
KXHIGHNY,2026-06-16,16,77-78,0.07,0.015700000000000047,-0.05429999999999996,False,False,metar_6h_group
KXHIGHNY,2026-06-16,16,75-76,0.935,0.9843,0.0492999999999999,True,False,metar_6h_group
KXHIGHNY,2026-06-16,17,77-78,0.06,0.0026000000000000467,-0.05739999999999995,False,False,metar_6h_group
KXHIGHNY,2026-06-16,17,75-76,0.9450000000000001,0.9974,0.05239999999999989,True,False,metar_6h_group
KXHIGHNY,2026-06-17,13,78-79,0.07500000000000001,0.3617603960396039,0.2867603960396039,True,False,hourly_snapshot
KXHIGHNY,2026-06-17,13,76-77,0.935,0.49059405940594103,-0.444405940594059,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,13,89-90,0.11,0.00364554455445545,-0.10635445544554455,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,13,87-88,0.42500000000000004,0.00844653465346536,-0.4165534653465347,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,13,85-86,0.35,0.013699999999999966,-0.3363,True,False,hourly_snapshot
KXHIGHNY,2026-06-18,13,83-84,0.095,0.051189108910891054,-0.04381089108910895,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,14,89-90,0.12,0.0026000000000000467,-0.11739999999999995,False,False,metar_6h_group
KXHIGHNY,2026-06-18,14,87-88,0.385,0.007899999999999907,-0.3771000000000001,False,False,metar_6h_group
KXHIGHNY,2026-06-18,14,85-86,0.37,0.02100000000000002,-0.349,True,False,metar_6h_group
KXHIGHNY,2026-06-18,14,83-84,0.155,0.21520000000000006,0.06020000000000006,False,False,metar_6h_group
KXHIGHNY,2026-06-18,15,89-90,0.10500000000000001,0.015494059405940647,-0.08950594059405936,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,15,87-88,0.495,0.09895742574257457,-0.3960425742574254,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,15,85-86,0.38,0.5932554455445557,0.21325544554455567,True,False,hourly_snapshot
KXHIGHNY,2026-06-18,15,83-84,0.065,0.2802376237623763,0.21523762376237632,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,16,89-90,0.075,0.024529702970297034,-0.05047029702970296,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,16,87-88,0.365,0.23851881188118873,-0.12648118811881126,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,16,85-86,0.545,0.7264158415841576,0.18141584158415758,True,False,hourly_snapshot
KXHIGHNY,2026-06-18,17,87-88,0.035,0.22316237623762356,0.18816237623762355,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,17,85-86,0.925,0.7459445544554459,-0.1790554455445541,True,False,hourly_snapshot
KXHIGHNY,2026-06-18,18,87-88,0.10500000000000001,0.21970099009900942,0.11470099009900941,False,False,hourly_snapshot
KXHIGHNY,2026-06-18,18,85-86,0.905,0.7499524752475254,-0.15504752475247463,True,False,hourly_snapshot
KXHIGHNY,2026-06-19,13,83-84,0.05,0.051189108910891054,0.0011891089108910513,False,False,hourly_snapshot
KXHIGHNY,2026-06-19,13,81-82,0.32,0.2100920792079213,-0.1099079207920787,True,False,hourly_snapshot
KXHIGHNY,2026-06-19,14,83-84,0.035,0.007899999999999907,-0.027100000000000096,False,False,metar_6h_group
KXHIGHNY,2026-06-19,14,81-82,0.33499999999999996,0.02100000000000002,-0.31399999999999995,True,False,metar_6h_group
KXHIGHNY,2026-06-19,15,83-84,0.07500000000000001,0.03342970297029696,-0.04157029702970305,False,False,hourly_snapshot
KXHIGHNY,2026-06-19,15,81-82,0.41000000000000003,0.2622237623762387,-0.14777623762376135,True,False,hourly_snapshot
KXHIGHNY,2026-06-19,16,83-84,0.045,0.024529702970297034,-0.020470297029702964,False,False,hourly_snapshot
KXHIGHNY,2026-06-19,16,81-82,0.16999999999999998,0.23851881188118873,0.06851881188118875,True,False,hourly_snapshot
KXHIGHNY,2026-06-19,17,83-84,0.060000000000000005,0.07223069306930707,0.012230693069307068,False,False,hourly_snapshot
KXHIGHNY,2026-06-19,17,81-82,0.9450000000000001,0.5950019801980198,-0.3499980198019803,True,False,hourly_snapshot
KXHIGHNY,2026-06-20,13,84-85,0.04,0.051189108910891054,0.011189108910891053,False,False,hourly_snapshot
KXHIGHNY,2026-06-20,13,82-83,0.46499999999999997,0.2100920792079213,-0.2549079207920787,False,False,hourly_snapshot
KXHIGHNY,2026-06-20,14,82-83,0.28,0.09319999999999995,-0.18680000000000008,False,False,metar_6h_group
KXHIGHNY,2026-06-20,15,82-83,0.265,0.03290000000000004,-0.23209999999999997,False,False,metar_6h_group
KXHIGHNY,2026-06-20,16,82-83,0.545,0.594887128712871,0.04988712871287093,False,False,hourly_snapshot
KXHIGHNY,2026-06-20,17,82-83,0.35,0.5950019801980198,0.24500198019801978,False,False,hourly_snapshot
KXHIGHNY,2026-06-20,18,82-83,0.12,0.5935445544554456,0.47354455445544563,False,False,hourly_snapshot
KXHIGHNY,2026-06-21,13,82-83,0.15500000000000003,0.2100920792079213,0.05509207920792128,True,False,hourly_snapshot
KXHIGHNY,2026-06-21,13,80-81,0.73,0.5341782178217822,-0.19582178217821777,False,False,hourly_snapshot
KXHIGHNY,2026-06-21,14,82-83,0.215,0.21520000000000006,0.00020000000000006124,True,False,metar_6h_group
KXHIGHNY,2026-06-21,14,80-81,0.8049999999999999,0.7533,-0.05169999999999997,False,False,metar_6h_group
